100BestEffectPack Unity 6 / URP Denetimi
Prefab sayısı: 100
Particle toplamı: 485
Renderer toplamı: 485
Desteklenmeyen material/shader toplamı: 0
Kategori|Efekt|Particle|Loop|Light|Renderer|DesteklenmeyenShader|AzamiSüre
BloodEffect|BloodEffect1|4|0|0|4|0|0,10
BloodEffect|BloodEffect2|3|0|0|3|0|0,10
BloodEffect|BloodEffect3|6|0|0|6|0|0,10
BloodEffect|BloodEffect4|3|0|0|3|0|0,10
BloodEffect|BloodEffect5|3|0|0|3|0|0,10
DarkEffect|DarkEffect1|6|6|1|6|0|0,50
DarkEffect|DarkEffect2|7|7|1|7|0|5,00
DarkEffect|DarkEffect3|5|4|1|5|0|0,50
DarkEffect|DarkEffect4|5|5|1|5|0|0,50
DarkEffect|DarkEffect5|4|0|1|4|0|0,10
DirtyEffect|DirtyEffect1|6|6|1|6|0|5,00
DirtyEffect|DirtyEffect2|5|5|1|5|0|5,00
DirtyEffect|DirtyEffect3|4|4|1|4|0|5,00
DirtyEffect|DirtyEffect4|6|6|1|6|0|5,00
DirtyEffect|DirtyEffect5|5|5|1|5|0|5,00
ExplosionEffect|ExplosionEffect|4|0|1|4|0|0,10
ExplosionEffect|ExplosionEffect2|6|0|1|6|0|0,10
ExplosionEffect|ExplosionEffect3|5|0|1|5|0|0,10
ExplosionEffect|ExplosionEffect4|4|0|1|4|0|0,50
ExplosionEffect|ExplosionEffect5|6|0|1|6|0|0,50
FireEffect|FireEffect1|3|3|1|3|0|0,50
FireEffect|FireEffect10|4|0|1|4|0|0,10
FireEffect|FireEffect2|3|3|1|3|0|0,50
FireEffect|FireEffect3|5|5|1|5|0|0,50
FireEffect|FireEffect4|7|7|1|7|0|0,50
FireEffect|FireEffect5|8|8|1|8|0|0,50
FireEffect|FireEffect6|9|9|1|9|0|0,50
FireEffect|FireEffect7|4|0|1|4|0|0,50
FireEffect|FireEffect8|4|0|1|4|0|0,50
FireEffect|FireEffect9|3|3|1|3|0|0,50
FlameEmissionEffect|FlameEmissionEffect|1|1|1|1|0|5,00
FlameEmissionEffect|FlameEmissionEffect2|3|3|1|3|0|5,00
FlameEmissionEffect|FlameEmissionEffect3|2|2|1|2|0|5,00
FlameEmissionEffect|FlameEmissionEffect4|3|3|1|3|0|5,00
FlameEmissionEffect|FlameEmissionEffect5|4|4|1|4|0|5,00
HolyEffect|HolyEffect|5|5|1|5|0|5,00
HolyEffect|HolyEffect2|6|6|1|6|0|0,50
HolyEffect|HolyEffect3|4|4|1|4|0|0,50
HolyEffect|HolyEffect4|3|3|1|3|0|0,50
HolyEffect|HolyEffect5|5|5|1|5|0|0,50
IceEffect|IceEffect1|7|7|1|7|0|5,00
IceEffect|IceEffect2|5|5|1|5|0|2,00
IceEffect|IceEffect3|5|0|1|5|0|0,10
IceEffect|IceEffect4|7|7|1|7|0|2,00
IceEffect|IceEffect5|6|6|1|6|0|2,00
Kunai|Kunai|3|3|1|3|0|5,00
Kunai|Kunai10|6|6|1|6|0|5,00
Kunai|Kunai2|4|4|1|4|0|5,00
Kunai|Kunai3|5|5|1|5|0|5,00
Kunai|Kunai4|4|4|1|4|0|5,00
Kunai|Kunai5|5|5|1|5|0|5,00
Kunai|Kunai6|4|4|1|4|0|5,00
Kunai|Kunai7|7|7|1|7|0|5,00
Kunai|Kunai8|5|5|1|5|0|5,00
Kunai|Kunai9|3|3|1|3|0|5,00
LightningEffect|LightningEffect1|6|6|1|6|0|0,50
LightningEffect|LightningEffect2|6|0|1|6|0|0,10
LightningEffect|LightningEffect3|6|6|1|6|0|0,50
LightningEffect|LightningEffect4|6|6|1|6|0|0,50
LightningEffect|LightningEffect5|6|6|1|6|0|0,50
MedicalEffect|MedicalEffect1|5|0|1|5|0|0,50
MedicalEffect|MedicalEffect2|3|3|1|3|0|0,50
MedicalEffect|MedicalEffect3|5|5|1|5|0|2,00
MedicalEffect|MedicalEffect4|4|0|1|4|0|0,50
MedicalEffect|MedicalEffect5|4|0|1|4|0|0,50
OtherMagicEffect|MagicEffect|5|0|1|5|0|1,00
OtherMagicEffect|MagicEffect10|5|5|1|5|0|5,00
OtherMagicEffect|MagicEffect11|4|4|1|4|0|5,00
OtherMagicEffect|MagicEffect12|4|4|1|4|0|5,00
OtherMagicEffect|MagicEffect13|5|5|1|5|0|5,00
OtherMagicEffect|MagicEffect14|4|0|1|4|0|1,00
OtherMagicEffect|MagicEffect15|8|8|1|8|0|5,00
OtherMagicEffect|MagicEffect16|4|4|1|4|0|5,00
OtherMagicEffect|MagicEffect17|4|0|1|4|0|0,10
OtherMagicEffect|MagicEffect18|5|0|1|5|0|5,00
OtherMagicEffect|MagicEffect19|3|0|1|3|0|5,00
OtherMagicEffect|MagicEffect2|7|7|1|7|0|5,00
OtherMagicEffect|MagicEffect20|6|1|1|6|0|5,00
OtherMagicEffect|MagicEffect3|4|0|1|4|0|1,00
OtherMagicEffect|MagicEffect4|5|5|1|5|0|5,00
OtherMagicEffect|MagicEffect5|4|4|1|4|0|5,00
OtherMagicEffect|MagicEffect6|6|0|1|6|0|2,00
OtherMagicEffect|MagicEffect7|6|0|1|6|0|1,00
OtherMagicEffect|MagicEffect8|5|5|1|5|0|5,00
OtherMagicEffect|MagicEffect9|5|5|1|5|0|5,00
